Symbol,Annualized_Volatility
BIRLAMONEY.NS,0.49816615080447446
BIRLANU.NS,0.40990759371830954
BLAL.NS,0.40392616987354313
BLBLIMITED.NS,0.5898122918626311
BLISSGVS.NS,0.47530987774354644
BLKASHYAP.NS,0.5143072536604846
BLS.NS,0.5376002164452767
BLSE.NS,0.4542774338130194
BLUECHIP.NS,0.6253366583318498
BLUECOAST.NS,0.38588682795910784
BLUEDART.NS,0.32966218908158984
BLUEJET.NS,0.47576492996015346
BLUEPEBBLE.NS,0.6290941241228573
BLUESTARCO.NS,0.3425851620387411
BMETRICS.NS,0.5809467158115921
BODALCHEM.NS,0.4511451509731112
BOHRAIND.NS,0.48699384876308244
BOMDYEING.NS,0.5030624024542008
BOROLTD.NS,0.43138580427560685
BORORENEW.NS,0.517723601779258
BOROSCI.NS,0.4500827935338302
BOSCH-HCIL.NS,0.3892080017481559
BOSCHLTD.NS,0.30484710008206634
BPCL.NS,0.3330782773909244
BPL.NS,0.5637630418543111
BRIGADE.NS,0.40146510705381566
BRITANNIA.NS,0.23224837036488424
BRNL.NS,0.5199362429672851
BROOKS.NS,0.5864154920930109
BSE.NS,0.4777801227298947
BSHSL.NS,0.4841489876469789
BSL.NS,0.5410475305242423
BSOFT.NS,0.428813000754649
BTML.NS,0.54395612991744
BUTTERFLY.NS,0.4652013656351709
BVCL.NS,0.4898162423282864
BYKE.NS,0.5543787610820851
CADSYS.NS,0.5357908190178842
CALSOFT.NS,0.5778141272882589
CAMLINFINE.NS,0.5111366955158432
CAMPUS.NS,0.3481962107887565
