Symbol,Risk_Contribution,Risk_Contribution_Pct
BIRLACABLE.NS,0.00013624094986027847,0.0008462580627023825
BIRLACORPN.NS,8.305532483141209e-05,0.0005158965667886912
BIRLAMONEY.NS,0.00012026048399302023,0.0007469957036262266
BIRLANU.NS,8.17901076028667e-05,0.0005080376940942145
BLAL.NS,4.850006201364216e-05,0.000301257210572169
BLBLIMITED.NS,8.521767069653699e-05,0.000529327936906044
BLISSGVS.NS,8.283103293682253e-05,0.0005145033819614431
BLKASHYAP.NS,0.0001114268375891418,0.0006921256773968841
BLS.NS,0.00011161483104998186,0.0006932933951949058
BLSE.NS,4.7165518931940394e-05,0.00029296772166246876
BLUECHIP.NS,6.870893055718504e-06,4.2678421226002084e-05
BLUECOAST.NS,3.355536655782637e-06,2.0842851966032537e-05
BLUEDART.NS,4.743393455532667e-05,0.00029463498018994435
BLUEJET.NS,4.3021370473217066e-05,0.00026722642251689703
BLUEPEBBLE.NS,3.482923066424617e-05,0.00021634110227187117
BLUESTARCO.NS,5.929391830276731e-05,0.0003683030431334564
BMETRICS.NS,2.9411338525573e-05,0.00018268796854147595
BODALCHEM.NS,0.0001168904860307873,0.0007260630255308745
BOHRAIND.NS,1.3712502620773178e-05,8.517494860801856e-05
BOMDYEING.NS,0.00014917784242292226,0.0009266153242208866
BOROLTD.NS,7.631988540066453e-05,0.00047405951317185124
BORORENEW.NS,0.00010474841710513973,0.0006506427958807206
BOSCH-HCIL.NS,7.446699806419057e-05,0.00046255033880556633
BOSCHLTD.NS,6.948602763129475e-05,0.000431611135920948
BPCL.NS,7.55663391750834e-05,0.00046937887515757613
BPL.NS,0.00013324394303680285,0.0008276422119545616
BRIGADE.NS,7.969511215452888e-05,0.0004950246698067381
BRITANNIA.NS,2.7645692751937964e-05,0.00017172069347955513
BRNL.NS,0.00010790213366916674,0.0006702320461943962
BROOKS.NS,0.00010539551992976956,0.0006546622627392685
BSE.NS,0.00010257472045299298,0.0006371409205661778
